Identifier Type,Identifier Value,Amortized Cost,Market Value,Accounting Intent,Type of Hedge,Hedged Risk,Hedge Interest Rate,Hedge Percentage,Hedge Horizon,Hedged Cash Flow,Sidedness,Hedging Instrument at Fair Value,Effective Portion of Cumulative Gains and Losses,ASU 2017-12 Hedge Designations
CUSIP,ID858987,47102245.7,10509428.83,HTM,2,4,5,0.8477,2032-01-11,4,1,46404552,-40805690,3
SEDOL,ID175047,21765559.04,39167486.75,EQ,1,6,2,0.4844,2027-06-07,3,1,-21248510,28252752,3
SEDOL,ID453620,46834054.75,17220409.76,HTM,2,8,3,0.7979,2033-10-12,2,1,19657225,-48841980,2
ISIN,ID139653,32875155.6,29103902.24,HTM,1,4,1,0.3811,2032-09-11,5,2,-25760719,35274175,1
SEDOL,ID950313,41612735.16,40349642.44,HTM,2,6,5,0.7022,2028-10-22,1,2,11113392,33835005,3
CUSIP,ID833927,36467962.49,17109227.54,AFS,2,8,1,0.0061,2028-12-10,6,1,-10760514,-34248971,3
SEDOL,ID452337,2641348.28,20416247.43,AFS,1,7,3,0.4512,2029-01-16,1,2,-46306859,-21221480,3
CUSIP,ID423446,26078684.75,43525608.61,HTM,1,7,4,0.4803,2032-06-24,1,1,23969650,-27417908,3
SEDOL,ID954971,49851639.61,8736672.52,AFS,2,3,1,0.9989,2028-06-29,2,2,24567703,-20041553,1
SEDOL,ID570331,31232249.23,14542773.16,AFS,1,11,1,0.8992,2033-01-18,6,2,-37223826,37427510,1
SEDOL,ID303932,19220016.36,2130095.21,HTM,1,3,4,0.9996,2028-04-02,3,1,43590864,10653794,2
INTERNAL,ID462628,2769248.98,35593456.72,HTM,2,2,3,0.8938,2031-05-13,4,1,34664600,24383813,2
SEDOL,ID701908,8945569.27,22171249.82,EQ,2,1,3,0.3268,2033-05-01,1,2,-6962681,5691062,2
INTERNAL,ID349986,27093823.96,46779426.32,HTM,1,11,5,0.6539,2029-09-08,5,1,36202216,-21581570,1
CUSIP,ID776584,20125718.45,40756582.76,AFS,1,3,4,0.5837,2026-04-17,6,2,-42856102,10046375,1
SEDOL,ID709185,9670326.24,21744628.05,AFS,1,6,1,0.0757,2031-07-27,5,1,44661916,-30541146,1
INTERNAL,ID743167,1609935.36,41853450.16,HTM,2,8,3,0.6142,2035-02-20,6,1,-25630534,-9767751,3
ISIN,ID681488,13168860.05,19068469.49,HTM,2,1,1,0.6866,2026-04-13,6,1,-32779055,-31061145,1
CUSIP,ID899355,44957837.94,30412753.33,AFS,2,6,1,0.1618,2032-02-05,4,2,38077871,27668093,3
SEDOL,ID319657,30290432.23,37332138.67,AFS,1,5,4,0.4666,2033-11-06,4,1,-44747761,-39259959,3
SEDOL,ID238419,34828568.15,21147326.12,HTM,1,3,3,0.6546,2026-10-02,1,2,20532656,20340093,2
CUSIP,ID600652,35969735.07,24441998.55,AFS,1,8,4,0.1435,2025-10-27,1,2,1519182,39943541,3
ISIN,ID190071,28072913.92,13424831.2,EQ,2,1,4,0.7821,2027-04-29,2,1,-501336,-27168483,2
ISIN,ID437636,40432493.26,8622642.7,EQ,2,5,3,0.9621,2033-10-30,6,1,40277986,-39673983,1
ISIN,ID592001,3426394.29,2616884.84,HTM,1,6,2,0.6776,2034-03-03,6,2,18149928,44461526,2
SEDOL,ID901200,7157522.01,24717220.59,EQ,2,6,4,0.3916,2026-06-24,3,2,-46801189,-31445556,2
SEDOL,ID911788,42820287.26,32809043.51,EQ,1,6,2,0.3197,2032-07-15,3,1,-23568309,-9214292,2
SEDOL,ID344164,36168080.64,34936469.13,HTM,1,10,5,0.8025,2027-02-28,6,1,21530523,3058527,1
SEDOL,ID282336,21121577.61,28080572.15,EQ,2,10,5,0.4465,2032-05-28,6,2,-8435968,34819741,2
CUSIP,ID409054,22529554.57,34945169.58,HTM,1,6,3,0.3831,2034-10-18,1,1,-7090952,-10564516,3
CUSIP,ID860573,36453820.19,38289712.35,AFS,2,2,5,0.3031,2032-01-17,6,2,2848233,14030216,1
SEDOL,ID850121,46644261.48,30789240.59,HTM,2,6,1,0.9042,2026-01-29,1,1,-15355518,-22363090,1
SEDOL,ID780383,11721144.24,41207848.25,HTM,1,2,5,0.191,2032-09-27,1,2,18046493,-36943766,1
CUSIP,ID694057,9831182.9,26452525.7,HTM,2,1,1,0.4151,2031-01-19,5,2,-42574257,17303991,2
INTERNAL,ID885641,3629275.48,20235969.77,EQ,2,5,4,0.9638,2032-03-09,6,2,34667419,-20384367,2
ISIN,ID671172,1196268.2,39883327.01,HTM,2,5,5,0.2541,2030-12-18,3,2,-26055560,19917134,1
CUSIP,ID187338,14775209.89,28818678.87,HTM,1,8,2,0.6257,2025-05-10,4,1,-39104185,-45642572,1
SEDOL,ID740097,44725926.6,40677915.92,EQ,2,8,3,0.6255,2027-06-16,1,1,-38653347,-13596601,2
CUSIP,ID268741,44674207.47,29291798.84,EQ,1,7,1,0.2712,2025-06-30,5,1,-46394721,-17379982,1
INTERNAL,ID363009,34829028.06,3819740.18,AFS,1,3,3,0.0556,2030-12-26,5,1,-35556081,-15674257,2
INTERNAL,ID749841,27745800.26,16808580.94,EQ,1,4,2,0.1525,2030-03-13,2,2,42896686,-17991563,3
INTERNAL,ID434873,10467424.41,44762837.48,AFS,2,11,3,0.648,2032-09-12,5,2,-1810067,8390449,1
ISIN,ID545893,42946113.53,28539716.44,HTM,2,11,2,0.9663,2030-02-21,3,2,-22255404,37784762,3
SEDOL,ID334595,24556034.87,28562861.46,HTM,2,10,3,0.7382,2028-08-08,6,2,15967847,-34712778,2
ISIN,ID318265,21529682.63,20166755.46,AFS,1,1,4,0.4945,2034-07-11,2,1,-48720982,10412506,3
SEDOL,ID305377,41181727.89,29530589.32,HTM,1,9,4,0.0513,2029-03-19,3,1,-35623107,-28435838,2
CUSIP,ID289237,45689581.62,16682118.64,HTM,2,5,5,0.3496,2031-06-29,1,1,-2822414,29293839,1
INTERNAL,ID924876,23998954.37,17230123.54,HTM,2,11,4,0.2834,2027-07-30,6,1,7387603,33014715,3
INTERNAL,ID376062,25866752.37,9990734.29,AFS,1,7,3,0.7754,2031-06-13,2,2,-10343652,-48050862,1
CUSIP,ID621065,40421504.18,2084481.26,HTM,1,2,5,0.2614,2028-05-20,3,2,-38614604,-39337674,2
SEDOL,ID232633,11681209.74,30485528.48,HTM,2,7,5,0.1216,2029-12-19,4,1,-13286868,-20913723,2
INTERNAL,ID964838,19537791.18,45656317.67,HTM,1,6,5,0.377,2033-09-27,3,2,33477199,2454775,2
SEDOL,ID617966,6066245.04,34766605.7,EQ,2,11,5,0.0445,2031-01-22,4,2,3071311,21309546,1
ISIN,ID147349,32089192.5,41221641.75,HTM,2,7,4,0.2972,2031-11-07,5,2,2448308,17859277,2
CUSIP,ID833681,3158180.4,47439805.81,AFS,1,7,2,0.657,2030-11-08,2,2,20430615,-23275968,3
CUSIP,ID523220,22358691.51,22237921.09,EQ,2,6,5,0.7236,2034-10-03,1,1,4224681,12200401,3
CUSIP,ID779854,28277743.3,45245356.65,HTM,2,6,2,0.244,2028-07-05,4,1,30730359,7766844,1
SEDOL,ID596286,46582965.03,45746546.79,EQ,2,3,2,0.1508,2027-04-03,1,1,-36495137,-38593630,2
ISIN,ID360065,31537343.68,35543915.93,HTM,2,3,2,0.6893,2032-07-06,5,2,35375379,-46615767,1
SEDOL,ID760115,8681686.69,4215632.35,EQ,2,10,3,0.2976,2031-03-05,3,1,49607061,31351312,1
INTERNAL,ID214692,23159044.52,9246008.38,EQ,1,5,3,0.2419,2028-09-01,4,2,-161137,-6883884,2
CUSIP,ID228482,49816023.21,35294155.67,EQ,2,5,2,0.8535,2031-05-17,6,1,-34339120,-25668640,1
INTERNAL,ID398160,18255617.11,5960159.06,AFS,1,9,3,0.6953,2034-01-23,3,2,33359362,43874710,2
SEDOL,ID677103,15283463.28,34781928.3,AFS,2,1,1,0.2416,2033-11-04,2,1,-5569604,-31954894,3
INTERNAL,ID332718,49052426.97,44558231.09,HTM,1,4,4,0.9682,2028-09-08,4,1,-4872354,-41741291,3
SEDOL,ID132144,21827792.3,9523255.49,EQ,2,9,5,0.4699,2032-11-25,2,2,29216644,10055945,2
ISIN,ID298055,29776804.81,48959645.04,HTM,1,10,1,0.8401,2034-02-16,3,1,-8033429,46048763,1
CUSIP,ID447342,34219144.82,23238025.4,EQ,2,7,5,0.8964,2026-03-22,5,2,48503371,-21744318,2
CUSIP,ID463466,13051141.95,46330606.48,AFS,2,1,4,0.4562,2025-12-28,5,1,-8167820,-1023883,1
ISIN,ID912390,1426169.0,9854368.91,HTM,2,8,3,0.5176,2032-12-21,5,2,25110375,-10897653,2
CUSIP,ID520122,39530614.84,29188095.36,HTM,1,5,3,0.8509,2032-12-10,4,1,5446051,-34850303,3
ISIN,ID948864,20464338.07,16558085.43,AFS,1,11,4,0.2736,2030-10-11,1,1,-3092262,-34380436,1
SEDOL,ID590933,30974151.09,13709930.5,AFS,1,7,5,0.3288,2027-07-15,4,2,-7575569,22451320,1
ISIN,ID271066,3391766.39,12221103.49,HTM,2,10,2,0.9326,2029-08-09,4,2,16115739,5786445,2
SEDOL,ID963899,27976464.91,2491875.62,HTM,2,10,5,0.3718,2035-01-10,3,1,9169039,35628296,1
ISIN,ID444119,5999659.18,44392368.78,AFS,2,6,5,0.3555,2033-10-31,5,2,-34771882,29964252,2
SEDOL,ID194073,36190703.0,15515563.37,HTM,2,5,1,0.7577,2027-08-10,1,1,-20310175,21428451,3
ISIN,ID703286,2915197.43,16090868.01,HTM,1,8,2,0.4529,2034-11-08,4,1,4363929,-23797051,2
CUSIP,ID428666,24867482.07,31598619.74,EQ,1,10,5,0.8397,2026-11-15,1,1,-45426858,-44479982,3
INTERNAL,ID147149,17313807.43,20896236.54,AFS,1,8,1,0.7346,2034-06-16,6,1,-39468773,-49586362,2
SEDOL,ID486945,29939490.68,6454106.21,AFS,1,1,5,0.5044,2025-07-27,2,2,11527359,-1888316,1
INTERNAL,ID563954,29064192.94,12749556.87,EQ,2,10,3,0.2274,2029-08-15,3,2,-48500833,-4991569,1
SEDOL,ID555479,46323897.79,48540326.43,EQ,1,5,3,0.1882,2032-10-31,2,2,22281500,3753961,1
ISIN,ID172460,14939553.22,30063726.25,AFS,2,2,4,0.356,2030-08-09,1,2,-44189920,5977826,2
ISIN,ID868510,18904620.2,6727623.06,AFS,1,10,3,0.0293,2034-02-26,3,2,-9658847,-16461931,3
ISIN,ID662417,41451965.81,3536497.54,HTM,1,11,3,0.0746,2034-05-01,3,1,-1238398,8778659,2
CUSIP,ID244243,3637197.48,1826806.48,EQ,2,7,5,0.0557,2026-03-26,1,1,-46866727,40338151,1
SEDOL,ID257732,5033850.98,18900807.16,HTM,1,5,3,0.0368,2033-03-01,1,2,33703999,-34248065,3
SEDOL,ID618765,34371573.09,10850277.27,AFS,2,4,5,0.424,2028-06-08,3,2,34789773,3535835,1
ISIN,ID431592,24917749.72,18835595.98,AFS,1,2,5,0.1852,2027-03-21,2,1,-14096150,21827626,1
ISIN,ID301317,38082294.3,19810275.03,AFS,1,2,2,0.7633,2027-08-19,5,2,39871708,-43341559,1
ISIN,ID192377,28605065.32,40670496.54,EQ,2,10,2,0.0807,2026-03-06,5,2,21794617,10424382,2
CUSIP,ID923752,16840936.97,25144356.02,EQ,2,10,1,0.9888,2030-08-09,5,1,31119334,-33460072,1
INTERNAL,ID783195,21896459.69,14215132.6,EQ,1,3,1,0.5959,2031-07-28,4,2,2438179,-27790072,3
INTERNAL,ID404896,7471931.26,10947306.42,HTM,2,1,2,0.3398,2034-08-03,6,2,6020958,-4322375,3
ISIN,ID131397,19277193.16,43143789.84,HTM,1,1,2,0.109,2030-11-28,4,2,30460376,28337893,2
INTERNAL,ID334828,2513756.86,20502885.31,EQ,2,9,2,0.7246,2028-08-21,2,1,13347643,-13355297,3
SEDOL,ID844778,6146464.27,42364790.69,HTM,1,5,4,0.108,2030-01-25,3,2,20780656,43346481,2
CUSIP,ID290179,46471787.03,1130136.38,EQ,1,6,5,0.5797,2028-03-26,3,1,-39790166,36952983,2
INTERNAL,ID668489,12125523.2,28085235.59,EQ,1,10,2,0.9345,2027-06-18,2,2,-22370447,-40869714,1
SEDOL,ID976285,7882425.03,30334798.63,EQ,1,8,3,0.0355,2029-06-09,3,1,38178177,-6796378,2
CUSIP,ID712295,26220397.75,47422882.47,EQ,1,8,2,0.8197,2034-05-31,4,1,24720794,17968875,3
SEDOL,ID745329,6601554.95,24728049.4,EQ,2,4,3,0.2369,2028-02-09,2,1,-4650304,37882143,3
INTERNAL,ID158701,47048828.3,40878677.61,EQ,1,2,4,0.2591,2026-06-16,2,2,3566532,-33621846,1
INTERNAL,ID336774,35766139.37,9982691.52,HTM,2,9,4,0.3647,2026-06-11,2,1,26690050,49303735,1
CUSIP,ID740448,48770810.99,21746908.15,HTM,1,8,5,0.7605,2028-07-05,4,2,-20767783,-37552957,2
SEDOL,ID679787,31038835.72,4060784.62,AFS,2,7,2,0.2857,2034-07-25,5,1,46240316,-15631633,2
CUSIP,ID881338,41510212.86,3124071.19,HTM,1,10,5,0.7249,2032-04-27,1,1,-3027069,37942003,1
CUSIP,ID275300,45273141.67,19787943.42,HTM,2,4,5,0.4528,2028-01-11,1,2,13555315,49559384,3
CUSIP,ID516945,49566878.49,3295676.26,AFS,1,5,1,0.5842,2027-02-18,4,1,47774526,-27232237,1
SEDOL,ID886372,38384713.86,8133992.8,AFS,2,6,1,0.6156,2032-11-04,1,2,26991687,32026310,3
SEDOL,ID150408,33062598.22,36965379.61,EQ,2,11,5,0.1942,2030-11-28,5,1,-4377677,45180229,2
INTERNAL,ID292974,13979673.66,42261074.59,EQ,2,11,2,0.8616,2025-06-12,2,2,-27633854,-34433007,2
INTERNAL,ID884068,41040953.41,38978816.59,HTM,1,11,1,0.5682,2029-10-29,2,1,-33485875,-21599302,2
SEDOL,ID152435,2264558.84,4226980.32,HTM,2,5,1,0.6877,2031-12-06,6,1,-26534958,2256477,2
CUSIP,ID102422,20794464.87,26958103.65,AFS,1,11,1,0.967,2033-05-29,4,1,38779305,-3615472,1
CUSIP,ID924518,3583367.74,18700771.19,HTM,2,7,1,0.6787,2034-05-26,1,1,-34827830,40607910,1
INTERNAL,ID867401,29156438.95,11972794.71,AFS,2,3,5,0.3871,2030-09-14,3,1,1280701,17452101,2
ISIN,ID201415,40651873.06,47263250.18,AFS,2,4,3,0.8606,2025-10-16,5,2,-24169692,28858172,1
ISIN,ID582381,14914887.9,10941569.11,EQ,2,6,3,0.1187,2025-04-26,4,2,-22434863,38436041,3
INTERNAL,ID150912,29903341.36,42455221.58,HTM,1,5,4,0.2409,2033-04-26,3,1,13273937,-43166049,3
CUSIP,ID761960,5038301.34,32041910.01,EQ,2,9,4,0.7694,2031-01-24,2,1,-23792379,301140,1
ISIN,ID726094,24198559.28,20476914.79,AFS,2,1,3,0.4321,2030-01-20,4,2,46443213,15367880,2
ISIN,ID873111,45832588.52,30866612.47,HTM,1,3,5,0.6847,2033-09-06,5,2,33809257,34005148,1
CUSIP,ID390978,34681985.12,3909651.44,HTM,2,11,2,0.3885,2026-02-27,4,1,-47486320,-22100890,1
INTERNAL,ID215380,13079021.76,35022756.94,HTM,2,7,2,0.3655,2035-02-18,3,1,-26120483,26845224,1
CUSIP,ID702216,1246520.87,37760516.52,AFS,2,11,5,0.4359,2027-03-23,4,1,4049726,-13033980,2
SEDOL,ID724062,37261198.2,12938265.02,AFS,2,9,3,0.5672,2029-11-23,2,1,46795644,29769132,3
SEDOL,ID615006,42597437.23,24388876.78,HTM,2,11,3,0.2369,2025-12-31,6,2,11035895,-20734422,3
ISIN,ID761244,42455449.22,4255678.26,HTM,1,10,5,0.8656,2032-12-21,6,2,-23753282,-41750612,2
CUSIP,ID908747,48728430.65,32449634.35,HTM,2,10,3,0.5128,2029-08-21,3,1,-23514769,-48732977,2
CUSIP,ID622309,22073368.49,21748578.34,HTM,2,9,1,0.7681,2033-01-12,2,1,42150615,-2145245,2
SEDOL,ID452427,32949271.94,44812202.15,AFS,1,5,2,0.7828,2032-01-02,4,1,-23960227,-39665830,3
SEDOL,ID456568,12030094.41,49482151.83,AFS,2,2,1,0.274,2032-09-10,2,2,-2913659,49194926,2
CUSIP,ID294490,9311517.46,15307247.66,AFS,1,3,4,0.4974,2030-12-04,2,1,47943511,5876139,3
INTERNAL,ID429255,1089981.67,19583259.24,EQ,1,5,3,0.5513,2026-05-03,3,2,-460571,-38997404,1
CUSIP,ID551017,49197506.48,45841229.42,EQ,1,11,5,0.4122,2031-08-19,4,1,22289361,47658566,2
SEDOL,ID137200,48710548.49,7126662.61,AFS,1,8,1,0.0113,2026-05-05,4,2,25804413,22682673,3
INTERNAL,ID739820,27545325.52,15373702.08,EQ,2,9,2,0.5079,2031-11-20,4,1,33862919,13064221,1
CUSIP,ID613045,38549507.97,26907021.41,HTM,2,5,1,0.2919,2029-04-04,6,1,30946340,-2187314,2
CUSIP,ID591584,40137972.87,22274383.63,EQ,2,6,5,0.6402,2027-07-30,2,1,-34391222,-6056379,1
CUSIP,ID642864,5337434.79,47711970.67,HTM,1,3,1,0.3587,2028-12-13,2,2,43943191,18839544,1
SEDOL,ID843169,14505907.93,30223955.34,EQ,2,6,3,0.873,2027-06-27,1,1,42354477,-46368231,1
CUSIP,ID907729,15528143.4,17458101.98,AFS,2,6,2,0.2455,2034-02-01,1,2,31581459,-21021844,2
INTERNAL,ID751145,28398846.15,8559216.49,HTM,2,7,1,0.1199,2030-09-27,4,1,-30122192,36730086,1
INTERNAL,ID442221,7579916.92,11037106.32,AFS,2,11,3,0.1009,2028-03-01,2,1,-24217079,5665577,1
SEDOL,ID235136,44350224.62,2133370.59,HTM,2,5,2,0.578,2031-10-04,4,2,14395256,44964719,3
CUSIP,ID890462,11044106.44,33275991.19,AFS,1,11,2,0.3125,2029-12-11,3,1,-29024005,47915019,1
ISIN,ID519045,11681033.17,3634829.87,HTM,2,5,3,0.29,2032-07-22,6,2,45205698,30177596,1
INTERNAL,ID453987,20899435.97,46000802.85,AFS,1,6,3,0.318,2026-04-30,4,1,17248142,-18341407,3
ISIN,ID823272,16420767.52,31828549.62,AFS,1,11,5,0.2785,2032-07-06,5,2,32200304,33227042,3
SEDOL,ID991986,15400940.39,48955015.46,HTM,1,2,1,0.1265,2031-12-24,2,1,11764537,-12215396,2
INTERNAL,ID118866,33798878.63,30123401.83,AFS,2,9,2,0.9244,2027-06-12,1,1,-29274576,-3809627,2
SEDOL,ID557886,35442936.57,18905767.54,EQ,1,6,4,0.235,2033-10-29,5,2,49813186,24062088,1
CUSIP,ID840807,30023605.26,31199822.56,EQ,2,5,5,0.8232,2031-09-29,3,1,23741898,-24691992,3
INTERNAL,ID699140,39455318.57,26909163.65,HTM,1,7,5,0.2816,2033-07-17,4,2,-41886466,-2493436,3
INTERNAL,ID986635,17900559.6,36563402.75,AFS,2,9,3,0.6708,2033-08-27,3,1,-9418197,-31720611,3
SEDOL,ID213694,10969519.07,12693613.07,AFS,2,6,4,0.046,2026-06-01,6,2,-41370070,-18208989,2
INTERNAL,ID139096,12385228.42,3059716.66,EQ,2,6,2,0.3551,2030-03-24,1,2,27814495,-2987605,3
ISIN,ID944061,43590868.07,44948532.36,HTM,1,10,3,0.4281,2029-07-22,1,1,6547390,-12287168,3
CUSIP,ID902773,38591998.15,27359596.12,HTM,1,5,5,0.424,2029-07-23,2,2,-21850428,-37029970,1
ISIN,ID344971,9090454.24,17435040.49,HTM,2,4,3,0.4226,2031-06-21,5,2,-18416758,32167328,1
INTERNAL,ID711435,9184279.92,30936464.13,EQ,1,7,2,0.3372,2033-11-13,4,1,-27252186,1624501,2
INTERNAL,ID869743,12839763.79,13342380.69,AFS,2,11,1,0.1069,2026-04-20,5,1,28301481,4908202,1
ISIN,ID481916,33907329.5,4452343.19,EQ,1,9,3,0.8657,2033-06-14,5,2,-20396814,21778783,3
SEDOL,ID438427,4987149.06,21371827.57,AFS,2,8,3,0.6071,2030-02-27,1,2,-7095435,-49635607,1
CUSIP,ID538834,11854621.94,18640140.04,AFS,1,8,5,0.2833,2033-03-01,3,1,41364493,32256780,1
INTERNAL,ID830403,7574298.91,49298765.37,HTM,1,2,3,0.577,2026-02-06,5,2,-19306890,-48419118,1
ISIN,ID136181,8458803.41,49514278.57,HTM,1,11,1,0.5881,2033-10-14,2,1,-16232039,42632701,1
INTERNAL,ID201228,5633774.13,31010506.76,EQ,2,6,3,0.8377,2030-04-23,5,2,3494490,-47529596,3
ISIN,ID121934,19284628.57,12108792.22,HTM,1,3,4,0.0673,2027-12-17,2,2,46241487,-49226076,3
INTERNAL,ID879646,21813774.89,2423142.5,HTM,1,5,4,0.2893,2029-04-26,2,2,-9007361,38075906,2
ISIN,ID331952,43608218.66,20959639.44,EQ,2,9,3,0.1786,2029-03-20,6,1,10665736,-22390796,1
ISIN,ID654991,46591244.23,39063408.25,HTM,1,2,4,0.1083,2031-12-23,5,2,27530906,-35166848,3
CUSIP,ID139103,18774920.66,9831573.53,HTM,1,11,1,0.6471,2034-03-21,3,2,2803358,-13399358,3
INTERNAL,ID298815,4034413.75,8639198.01,HTM,2,7,2,0.0157,2026-10-29,1,1,38228068,23654236,1
CUSIP,ID608133,44754243.78,25706169.3,AFS,1,2,1,0.4264,2029-11-13,5,1,48803131,24309353,2
ISIN,ID817703,5472354.33,19620521.57,HTM,2,11,1,0.7427,2034-12-16,6,1,17779764,32761470,2
INTERNAL,ID123882,25849561.66,3751798.85,EQ,1,2,5,0.8489,2027-05-02,4,2,25667066,-9515745,3
INTERNAL,ID592197,10852733.25,41344864.89,AFS,1,9,1,0.253,2027-06-04,3,1,24406949,-41376949,1
SEDOL,ID196991,11123924.23,31838015.44,AFS,2,10,5,0.7768,2025-06-09,3,1,1617855,28293535,2
SEDOL,ID220434,25733960.82,27813354.98,AFS,2,11,3,0.213,2025-11-01,2,2,-15923238,-14468824,3
SEDOL,ID123676,28793661.75,18016380.44,EQ,2,10,4,0.2653,2031-11-09,6,1,-3529527,33987909,1
ISIN,ID126978,7169883.76,46399094.2,AFS,1,3,4,0.1308,2026-10-21,5,1,-3302490,-43649493,2
INTERNAL,ID413973,2121481.36,19751982.8,AFS,2,2,5,0.0645,2030-08-23,3,1,-4923450,-43833373,3
INTERNAL,ID526377,3279444.48,46931351.68,HTM,2,8,2,0.7568,2025-07-11,4,2,-19912056,-2010959,2
INTERNAL,ID967116,17425428.8,12184651.78,HTM,2,1,2,0.3161,2034-10-30,2,2,-34053604,-24907933,2
SEDOL,ID733777,42370435.75,18237383.53,EQ,2,4,2,0.9076,2031-08-29,2,2,28924261,11981277,1
INTERNAL,ID806025,4147180.39,36594697.13,HTM,1,7,3,0.269,2030-09-18,5,2,49004816,49471401,1
ISIN,ID189445,28917359.13,14043445.69,AFS,2,3,5,0.9813,2028-04-23,4,1,28762530,37469635,3
SEDOL,ID757676,21864569.99,33643735.85,HTM,1,9,3,0.4566,2030-11-15,6,1,3813564,-16454855,2
ISIN,ID402030,1362900.93,26058756.92,EQ,2,5,3,0.8491,2031-10-22,2,2,-22398755,-48905261,3
SEDOL,ID571440,27656929.21,45351529.58,AFS,2,6,2,0.6982,2026-07-17,6,2,10033417,3007612,1
ISIN,ID944154,43506049.1,32150624.9,EQ,2,4,4,0.8018,2034-04-19,5,2,-49215094,-16842087,2
INTERNAL,ID463181,34866231.61,21959266.37,HTM,1,11,3,0.8028,2034-09-21,1,1,-17605603,21441496,1
CUSIP,ID987066,33195022.63,9997586.31,HTM,2,3,2,0.724,2028-02-13,4,2,26655494,-6332500,3
SEDOL,ID663574,23786999.46,16398549.06,EQ,1,4,2,0.9654,2026-08-21,6,2,-47617164,-11207240,3
ISIN,ID518109,34673338.64,16811162.04,AFS,2,2,5,0.0019,2027-06-17,1,2,-36355314,49984583,1
ISIN,ID253763,32681262.32,23466124.67,EQ,2,11,4,0.1358,2035-02-14,4,2,48258547,25557944,1
ISIN,ID711907,30852645.96,48286940.98,HTM,1,1,1,0.5416,2025-10-29,2,1,31517736,9882679,1
CUSIP,ID817214,22782712.15,46290117.31,EQ,2,2,3,0.6367,2029-09-25,5,2,45694636,-11055918,1
INTERNAL,ID478834,36718043.74,33284089.6,HTM,1,5,3,0.8048,2029-07-25,1,2,3019781,-23085580,3
ISIN,ID167252,24768082.01,32700521.21,HTM,1,5,1,0.7727,2030-09-12,3,1,42209251,-48299625,1
INTERNAL,ID189660,28500085.54,47918415.16,AFS,1,5,2,0.7496,2029-05-07,5,2,-30634064,-32959057,3
ISIN,ID568054,14121971.71,15601789.64,EQ,1,9,4,0.2235,2031-02-23,3,1,2127402,-19675455,3
CUSIP,ID683164,41510752.0,40137552.12,HTM,1,10,3,0.8728,2032-07-20,6,2,-29790287,24914348,3
INTERNAL,ID817200,33359321.94,40373325.59,HTM,2,10,2,0.618,2031-07-27,5,2,-27174811,-34429081,3
ISIN,ID699998,25753385.55,49436960.66,AFS,2,7,4,0.1413,2032-09-23,4,1,37331807,36182093,1
SEDOL,ID609036,8744055.4,4118965.88,HTM,1,8,2,0.3651,2029-03-06,4,1,9321074,42331295,2
ISIN,ID562281,15998814.2,37557316.75,HTM,2,9,3,0.3156,2030-09-06,4,1,-5043318,1494877,1
SEDOL,ID544121,44326356.51,18941788.07,AFS,1,8,5,0.8727,2025-11-07,1,2,-39064372,-47968,2
CUSIP,ID392168,40633639.4,44459875.38,EQ,2,3,5,0.7518,2025-11-17,6,1,-7520442,-21427220,3
SEDOL,ID169725,43708283.26,47714785.54,EQ,1,2,3,0.7312,2029-12-19,1,1,-49928975,12354819,1
CUSIP,ID315398,9135053.68,39664156.77,AFS,2,7,5,0.633,2030-05-13,6,1,-398038,27117215,3
SEDOL,ID236530,18237345.11,41777735.99,EQ,2,10,3,0.5169,2033-04-21,5,2,-46661392,32125821,2
SEDOL,ID283871,44133973.24,32506700.61,AFS,1,5,1,0.8238,2033-05-08,5,1,5231439,21260148,1
CUSIP,ID259455,42636739.15,11809633.04,AFS,1,3,5,0.1596,2032-08-15,3,2,21400063,-44246323,1
ISIN,ID577247,14617498.3,7943772.86,EQ,1,11,3,0.8503,2029-08-09,1,2,18721989,41267373,1
CUSIP,ID247806,9276313.14,43935544.01,EQ,1,3,2,0.6006,2027-12-12,2,2,8411369,-25072439,2
SEDOL,ID584083,26954645.51,34907386.43,HTM,1,5,3,0.8369,2034-02-08,6,1,-3020700,-44781389,3
CUSIP,ID112196,38213506.73,33672379.26,EQ,2,5,4,0.0766,2029-08-28,1,1,-38535115,-17705003,1
ISIN,ID710637,40894713.51,16967095.28,AFS,1,2,2,0.7675,2026-06-26,2,1,14439630,40271916,1
INTERNAL,ID501847,49806005.69,1552063.56,AFS,1,2,2,0.1168,2028-05-18,1,1,-23548603,803069,1
ISIN,ID800171,39382995.77,38885454.68,AFS,1,3,2,0.9171,2035-02-08,5,2,24591760,-21728069,3
CUSIP,ID952351,24737156.82,34739158.43,EQ,1,6,4,0.4261,2035-02-13,1,1,39663481,-39004268,1
ISIN,ID662561,20000725.72,18044572.88,EQ,1,9,1,0.0967,2034-01-11,4,1,-14958604,-4742602,3
ISIN,ID731233,26332508.96,15127277.39,HTM,2,3,1,0.6161,2027-03-21,3,1,17724247,-35438219,1
CUSIP,ID508255,14953988.66,35364386.49,AFS,1,5,2,0.7885,2032-06-09,4,1,-36891469,7057784,1
ISIN,ID240467,17968559.79,29802933.92,HTM,1,3,5,0.3941,2031-09-23,6,2,-43723761,34666341,3
ISIN,ID294641,42664937.3,14885397.58,HTM,2,1,2,0.0348,2033-11-09,4,2,16452687,-48281399,2
SEDOL,ID618703,16241842.82,3361840.3,AFS,2,4,5,0.3769,2031-06-11,4,1,14045682,49104889,3
